,id,name,country_code,country,hand,age,url,date_accessed
1424,38165,GONG Yuting,CHN,CHINA,Right,23,https://fie.org/athletes/38165,2021-05-13 21:47:45
1425,48406,TAN Clarisse,SGP,SINGAPORE,Right,17,https://fie.org/athletes/48406,2021-05-13 21:54:57
1426,38166,CHEN Tingyi,CHN,CHINA,Right,23,https://fie.org/athletes/38166,2021-05-13 21:47:46
1427,46358,VELMA Emilia,IRL,IRELAND,Right,18,https://fie.org/athletes/46358,2021-05-13 21:47:46
1428,40237,LIN Qiwen,CHN,CHINA,Right,22,https://fie.org/athletes/40237,2021-05-13 21:55:13
1429,38219,BOYD Alice,NZL,NEW ZEALAND,Right,24,https://fie.org/athletes/38219,2021-05-13 21:47:55
1430,48527,TAY Anna Wan Enn,SGP,SINGAPORE,Left,16,https://fie.org/athletes/48527,2021-05-13 21:55:36
1431,26018,MESUROLLE Charlotte,CAN,CANADA,Right,27,https://fie.org/athletes/26018,2021-05-13 21:24:51
1432,38349,KAUR Baljeet,IND,INDIA,Left,27,https://fie.org/athletes/38349,2021-05-13 21:48:29
1433,34271,SEIDAKHMETOVA Kuralay,KAZ,KAZAKHSTAN,Right,24,https://fie.org/athletes/34271,2021-05-13 21:25:11
1434,5629,POPESCU Ana Maria,ROU,ROMANIA,Left,36,https://fie.org/athletes/5629,2021-05-13 21:48:32
1435,42545,MATIC Anja,SWE,SWEDEN,Right,18,https://fie.org/athletes/42545,2021-05-13 21:25:20
1436,48703,STUTCHBURY Carolina,GBR,GREAT BRITAIN,Right,15,https://fie.org/athletes/48703,2021-05-13 21:56:06
1437,48731,FUENTES HENRIQUEZ Ariana Belen,ESA,EL SALVADOR,Left,16,https://fie.org/athletes/48731,2021-05-13 21:56:08
1438,48746,FUNG Carina Wing,HKG,"HONG KONG, CHINA",Right,18,https://fie.org/athletes/48746,2021-05-13 21:56:12
1439,36486,JIA Amy,USA,USA,Left,22,https://fie.org/athletes/36486,2021-05-13 21:39:54
1440,50827,VARGAS Alisson,GUA,GUATEMALA,Right,14,https://fie.org/athletes/50827,2021-05-13 21:25:38
1441,50828,CAP Stephanie,GUA,GUATEMALA,Right,15,https://fie.org/athletes/50828,2021-05-13 21:25:39
1442,22161,MCKEE Nicole,USA,USA,Right,26,https://fie.org/athletes/22161,2021-05-13 21:48:55
1443,26260,TAKAHASHI Fuko,JPN,JAPAN,Right,27,https://fie.org/athletes/26260,2021-05-13 21:25:41
1444,50862,HE Elizabeth,USA,USA,Right,17,https://fie.org/athletes/50862,2021-05-13 21:25:53
1445,46783,SONG Yue,CHN,CHINA,Left,16,https://fie.org/athletes/46783,2021-05-13 21:49:01
1446,50883,MIRZAEVA Komila,UZB,UZBEKISTAN,Right,19,https://fie.org/athletes/50883,2021-05-13 21:25:57
1447,34501,REBOLLEDO Alondra,MEX,MEXICO,Right,21,https://fie.org/athletes/34501,2021-05-13 21:25:58
1448,48840,LIN Maggie,CAN,CANADA,Right,18,https://fie.org/athletes/48840,2021-05-13 21:56:44
